task_id,warehouse_id,clusterization_id,cluster_id,order_id,transport_type
9,6,1,12,48,car
9,6,1,12,49,car
10,1,1,1,1,car
10,1,1,1,8,car
10,1,1,1,4,car
10,1,1,1,5,car
10,1,1,1,10,car
10,1,1,2,2,car
10,1,1,2,9,car
10,1,1,2,3,car
10,1,1,2,7,car
10,1,1,2,6,car
10,2,1,3,11,car
10,2,1,3,13,car
10,2,1,4,14,car
10,2,1,4,12,car
10,2,1,4,17,car
10,2,1,4,15,car
10,2,1,4,16,car
10,3,1,5,18,car
10,3,1,5,20,car
10,3,1,5,21,car
10,3,1,5,23,car
10,3,1,5,25,car
10,3,1,6,22,car
10,3,1,6,19,car
10,3,1,6,24,car
10,3,1,6,26,car
10,4,1,7,27,car
10,4,1,7,33,car
10,4,1,7,31,car
10,4,1,7,34,car
10,4,1,8,29,car
10,4,1,8,32,car
10,4,1,8,28,car
10,4,1,8,35,car
10,4,1,8,30,car
